"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
2.23190818210816,0.010242695487971,0.0228455647058834,0.448345034138429,0.653904204124463,0.784137335518261
2.26769927126125,0.0168687249994155,0.022664239337244,0.744288160233783,0.456702162523544,0.619106508586624
2.05571735526706,-0.00193478802404669,0.0238057357167383,-0.0812740276993959,0.935224028538251,NA
2.30554681459151,-0.0416823099777828,0.0224828617734463,-1.85395926896692,0.0637449874389274,0.150707185899189
2.17164728950493,-0.0278826949983399,0.0231640698738419,-1.20370449364887,0.228703814817,0.389537165091479
2.10574439528915,-0.00591979059979947,0.0235212079199889,-0.251678851695737,0.801289304818756,NA
2.06186014298588,-0.0034239541090648,0.0237702819409556,-0.144043479062207,0.885466136292461,NA
2.10336751894499,-0.00345818702162095,0.0235343040355523,-0.146942395933902,0.883177487991077,NA
2.10068694973469,-0.0229063988262526,0.0235512353072505,-0.972619844666944,0.330742276018549,NA
2.11886504567176,-0.0461392941770107,0.0234537612598184,-1.96724498326236,0.0491549743435054,0.123462347839389
2.07234892181036,0.00937846838857908,0.0237092554536267,0.395561488926658,0.692428551965573,NA
2.25771368955833,-0.0702745642120633,0.0227260971386374,-3.09224077426771,0.00198651650988274,0.00884154239372681
2.90252652862729,-0.107539979733737,0.0200539020342887,-5.36254637874774,8.20568904337351e-08,1.15552244069801e-06
2.07079958019939,-0.00486521975219295,0.0237189465732717,-0.205119554410374,0.837478719035159,NA
2.12840931848355,-0.00787764888466793,0.0233957982228147,-0.336712122819812,0.736333923804944,0.847112732877385
2.16585536487172,-0.000987871851233659,0.0231918467559583,-0.0425956527580047,0.966023860943365,0.977877309905131
2.13929084161231,-0.0190396380482085,0.0233372181665353,-0.815848654811422,0.414586701583835,0.581594953718858
2.07134854156845,-0.00992558237713225,0.0237161943560442,-0.418514970324598,0.675570643502042,NA
2.11191208855832,-0.00315607589743952,0.0234866775559727,-0.134377282181274,0.893104244886054,NA
2.09501250403746,-0.0155175988093126,0.0235825538604179,-0.658011804029338,0.510530546222109,NA
2.10633866070975,-0.00437833178305393,0.0235179559251932,-0.186169741833886,0.852311651639874,NA
2.16065184983292,-0.0778811675554377,0.0232332154547646,-3.35214760552939,0.000801872536586642,0.00420005188370686
2.05893271630363,0.00104721994954942,0.0237869157231858,0.0440250414024322,0.964884443062943,NA
2.10209871703877,-0.0171122767929804,0.0235426752733975,-0.726862032214189,0.467310477970527,NA
2.16445091447299,-0.0181657904753821,0.0232009480018472,-0.782976216055302,0.433641078863433,0.600157390027426
2.07849506126408,-0.0022330689719745,0.0236747905443767,-0.0943226495621478,0.924852858372716,NA
2.09287880545213,-0.0176795363721398,0.0235946239482765,-0.74930358758404,0.453674245968758,NA
2.15115246727907,0.0232389234726378,0.023270789369216,0.998630648231454,0.317973647667063,0.493031341779796
2.06870432908233,-0.00391861873569506,0.0237308988773743,-0.165127277982343,0.868843802997005,NA
2.06004378348057,0.00301958419978005,0.0237803286330741,0.126978236775936,0.898957623640802,NA
2.10666668751186,-0.0390670387135756,0.0235200917861338,-1.66100706871422,0.0967120270461694,NA
2.05891632481942,-0.00601243606926668,0.0237874496674837,-0.252756649128528,0.800456269093408,NA
2.44813616874295,-0.150334831280817,0.0218513185344539,-6.87989747821296,5.98956505084403e-12,1.60782386833595e-10
2.06410179540688,-0.00182934136843128,0.0237572667259209,-0.0770013398231259,0.938622479109399,NA
2.09371939998506,-0.0357937651018159,0.0235924966372981,-1.51716732875267,0.129224442762936,NA
2.13356172127249,-0.0163164796079637,0.0233682520399691,-0.698232780956657,0.485031628979662,0.643960076187835
2.08911003886651,-0.0191079284203827,0.0236161193224228,-0.809105347051676,0.41845455289055,NA
2.79261882826266,-0.0755061039513736,0.0204353659120538,-3.69487408624459,0.000219995780052683,0.00135305280476316
2.09232613228663,-0.0134449620101108,0.0235973046772099,-0.569766852359873,0.568835840665761,NA
2.32856880399764,-0.0682688648887684,0.0223767830135174,-3.0508793354044,0.00228172252225651,0.00994923678486468
3.8284163548656,-0.101890340115214,0.0174596627177462,-5.83575649555079,5.35470512394317e-09,9.13846033404077e-08
2.07011832176436,-0.00155925732811655,0.0237226979307812,-0.0657284990377654,0.947593982517244,NA
2.2571692822685,0.027030097229651,0.0227168030797779,1.18987241007132,0.234096543926183,0.394549897774868
2.09669537292701,-0.00123529736865642,0.0235718007301695,-0.0524057276233191,0.958205410406921,NA
2.4357240373124,-0.101209168529159,0.0218877634418334,-4.62400687023695,3.76397390387087e-06,3.91119385091743e-05
2.11693191296733,-0.0462042110550348,0.0234646226311401,-1.96910096451826,0.0489414981231623,NA
2.24093466435552,-0.0475427619794352,0.0228059095528309,-2.08466853160582,0.0370993989982114,0.0989701358368435
2.05656261990707,0.00592872616057402,0.0238003818612331,0.249102144458906,0.80328177069675,NA
2.07024514211991,-0.0161853210546047,0.0237232657318574,-0.682255185164907,0.495077605199229,NA
2.44120777168991,0.0200207407147181,0.0218439978008821,0.916532811311197,0.35938750622572,0.533184573139713
2.06175120606925,-0.0122387395361805,0.0237718893764586,-0.514840841733873,0.606664242895649,NA
2.2055552713528,-0.0334914746033275,0.0229856875055948,-1.45705777106626,0.14510043386651,0.281145727875185
2.18180968902333,0.0217692576456625,0.0231060603132514,0.942144932997415,0.346118442449634,0.523136203045576
2.08129012675323,-0.00762967872890795,0.0236593128812808,-0.322480993729303,0.747088334145446,NA
2.0694013007423,0.000578256306371376,0.0237265583925205,0.0243716891765333,0.980556130380205,NA
2.1158299258677,0.0106330268308309,0.0234641364231095,0.453160799915848,0.65043295726873,NA
